,aapl,intu,klac,nvda,adsk,has,nke,tif,pvh,bby,abc,unh,ci,mck,hum,el,cost,wba,mo,syy,bkr,slb,hal,cvx,oke,ipg,omc,viac,cmcsa,dis,expd,gww,pcar,ba,rtn,es,eix,ed,sre,exc,ecl,shw,iff,fmc,ppg,pld,reg,avb,well,kim
0,0.01671462404189544,0.0023821638096001197,5.0536664682646165e-20,6.319737228053873e-19,0.005566981651768478,1.3677906458915605e-19,3.720086451788853e-20,2.827996794251722e-19,5.47288104437372e-19,1.068843215987745e-20,0.0016422076848791945,2.4590173271613795e-20,1.925066384565885e-19,5.436512955753398e-18,2.9592817851391906e-20,1.37378836451171e-18,3.6186444502581846e-18,1.1977793553036222e-20,2.749878844624996e-20,3.5503147168394274e-20,2.6379558108515526e-16,7.378990685828031e-19,2.7457558367271022e-18,4.887600699691261e-18,2.0000803115566858e-19,0.0007854720073173281,3.089369111844926e-20,5.418106636131614e-19,0.00023473557904019654,1.5855410151169217e-18,2.1489996579627477e-20,0.004477035793849751,3.552224694168606e-20,4.199940590024895e-20,0.00035800031666546764,2.171254550823491e-19,0.0066179327310478655,1.5859190339363187e-19,1.883206915418048e-19,1.0260758991624207e-19,5.0687602476525615e-19,5.440646596958501e-20,5.779179873992226e-18,2.1255965380318652e-19,7.224466556133085e-18,0.9612208463839359,4.176702806592549e-18,1.8963214502588756e-18,1.7624073068743308e-19,4.329990744088819e-19
1,0.014599858377219159,0.005077278174752489,2.3677648783803905e-18,7.309645629786952e-18,0.003969742606069526,2.011980536649963e-18,2.1333050553477317e-18,7.484273927164525e-18,1.1216082337126237e-17,1.745520259488031e-18,0.008161195281758786,7.302646131638605e-19,1.767639137860636e-17,1.989885011440693e-15,2.304636080983981e-18,6.646358205978764e-16,0.00275718238716067,4.108236934122729e-18,1.4678375227686479e-18,5.040683855315334e-19,1.8532592671352465e-16,1.2373235591045404e-15,0.013805097037666098,1.7583517854388328e-17,7.941937829877258e-18,0.0005654729864947829,1.734026268341181e-18,3.708868507830017e-17,2.6674133110205427e-05,0.0034945213711475866,7.287901501898252e-19,5.937546493814419e-17,1.6419011344887386e-18,8.380389132554357e-19,1.3928085918461016e-16,6.267376098728917e-17,0.0016561314252041583,1.0870394100237058e-17,7.80167342033845e-18,5.489919870269589e-17,1.6117303264427238e-17,4.09144176761337e-18,1.2370338179576448e-15,7.152076786100308e-18,1.1387224282204059e-16,0.94588684621941,6.041337055908175e-16,8.958952398393348e-17,9.459751582291088e-18,4.6471675517397573e-17
2,0.020753755806164228,3.4398605290460446e-19,1.858801426588118e-20,3.450542812233257e-19,1.3556414352960849e-19,5.828063659922925e-20,3.227506388445133e-20,4.102402442339713e-20,6.596103060754111e-20,5.52647476509703e-21,6.4069034184413e-19,8.881152401897264e-21,2.426945935542886e-19,0.18062946119115406,9.657563190963617e-21,3.1432972952370497e-18,6.338252014601993e-19,3.910762298084245e-21,1.07078465688899e-20,8.75774046727785e-21,1.2935652509569952e-18,2.419973130460967e-19,0.026801888979740052,1.3594295628052476e-19,4.0544367456328034e-20,0.00039111037176057774,1.5634443002825457e-20,6.906301906915468e-19,0.000788836664807538,2.3837578552765183e-13,1.2825577214500079e-20,7.871552400657068e-20,1.9550238075511484e-20,7.19234990115654e-21,4.257769311277266e-20,2.5985315092238267e-19,0.006588152685174656,3.710523907295534e-20,7.333462983741457e-20,4.991743989772858e-20,1.259719825867199e-19,4.203711861926869e-20,6.057490144724351e-19,4.3214524619775395e-20,4.163876795766816e-20,0.7640467943009606,2.4113954836493844e-18,9.399074056469557e-19,2.457091307004304e-20,5.113477505755001e-19
3,1.8515194438827712e-19,0.016711950043077916,5.088809063275828e-21,2.919243745687111e-20,3.0725589828110117e-20,2.6236941233438823e-21,9.044475855418276e-21,2.26721411854276e-20,3.981651394252313e-20,8.749077739673766e-22,1.2525514793653608e-19,1.6590463375564524e-21,2.469763438724709e-19,0.0696863947863425,4.750657305329373e-21,1.6595108398650842e-19,1.1727067732347547e-19,1.2790365873244253e-19,4.835082295432009e-21,1.1833641858362254e-20,2.442676207733036e-19,4.705015720169446e-18,0.021791242439308196,1.653364567258085e-20,2.4357387099978935e-20,3.4873183603697655e-20,4.0548381125045814e-20,1.0585546550985984e-19,0.0008819088912961564,1.6891630027708065e-19,4.335647652507816e-21,2.5200907312842077e-20,5.796311086519172e-21,1.2349431529657067e-19,3.124348077599917e-20,9.137646616961892e-20,7.398349753510816e-18,1.1986640174551573e-20,5.138510668608653e-20,2.9482795922180315e-19,5.633419018650205e-20,6.7181129759985784e-21,5.411292369103789e-20,1.6246925123410111e-19,7.273306514173962e-21,0.8909285038399752,1.6058229161271874e-18,2.122593046879281e-19,7.023589938429469e-21,7.705908353071309e-20
4,1.5561083217299838e-19,0.009595652433611641,3.01975770098e-21,1.0934742864026115e-18,2.2577269829521948e-20,2.770058141526274e-21,1.242943025727086e-20,2.9924725049668434e-20,1.7195384808233993e-20,5.295034911619508e-22,6.219923510513511e-19,4.2263352591755505e-21,4.2508313652098034e-20,8.292052156038963e-19,1.593076163884346e-20,1.4452372213682242e-19,3.2288575439886964e-19,9.110639799460781e-21,1.6343772843686104e-21,8.659187656450558e-21,8.460445860475852e-19,5.576839822663327e-19,0.022828936212777554,1.4667196136312366e-20,2.115709765334543e-20,6.794227197930514e-21,8.846457865395151e-21,4.0093415520341515e-19,0.0009860802419700673,9.802508359271046e-20,1.4112105972230024e-20,3.809172063421427e-20,6.440212597809905e-21,1.1278139946025876e-20,1.9761352762596256e-20,3.301764011529334e-20,9.158105815713391e-18,1.5297893916159902e-20,1.4374100813316208e-20,1.4863529358809853e-20,5.539746211837319e-20,1.0880955402785578e-20,1.661290711132521e-19,2.744040726812832e-20,5.187523598721336e-21,0.913370028387868,0.053219302723772885,1.1682695526577452e-19,4.5517614009743815e-21,1.0319044536550578e-19
5,8.523801850877979e-18,7.414692993782505e-18,4.2831980804550365e-19,2.4323226226313073e-18,5.830069942914197e-18,6.390621662076501e-20,1.1829455841316153e-18,4.5443641636506e-19,1.2662299016679291e-18,1.6405055488990827e-19,3.274481742149448e-17,1.170328620372281e-19,3.330836811240711e-18,5.00914122289205e-18,2.913900961842644e-19,4.580556226662767e-18,3.497363722934121e-18,1.5642976464343495e-19,2.6716790444750385e-19,1.3926160925889778e-19,7.009991185961708e-18,2.5326186074498747e-18,0.015090559919734922,7.279105750644442e-19,1.4026991155212741e-18,1.669201262125963e-19,3.279308525420324e-19,2.4356726072747243e-18,0.0010580380179480923,2.4835283313971033e-18,1.0893996158609072e-19,1.3168238692114143e-18,3.517816728224809e-19,2.3934107529054034e-19,1.0176786762728855e-18,2.685892654718265e-18,1.8447988271696635e-18,5.244181499981737e-19,5.172451120549635e-19,2.126489793143319e-18,1.5983580485779579e-18,4.263986539386905e-19,3.3817848815563623e-18,1.189869779165022e-18,2.4868860066653473e-19,0.9302295899376052,0.05362181212471175,4.3105622090879905e-18,2.4011337341528826e-19,3.1284255985645402e-18
6,8.600663265734988e-18,0.006160904898320103,7.664113993257615e-19,0.005330802849249538,1.3626067625275692e-17,1.1795380362888892e-18,1.2923088575289136e-18,1.671150666637986e-18,1.9799231328411397e-18,2.418639027322407e-19,0.011848970221010816,3.5652432746009833e-19,6.2137345840768735e-18,0.006532049400436842,1.136597044736709e-18,2.7677024201628927e-17,8.259545252183965e-17,2.29293810950115e-19,5.876667290749826e-19,9.438402574054586e-19,2.1868260516629494e-17,4.319100802717947e-18,0.019331244541345983,1.5318054596584888e-17,1.3366383803293107e-18,3.804378635171005e-19,7.722429660716634e-19,1.1605384327929022e-17,0.000759935283761865,4.5363317630610365e-18,3.8381697792842285e-19,3.366706200771991e-18,4.924496947010615e-19,9.587707001596069e-19,1.266990864685719e-18,1.8759424371532932e-17,2.585502752137314e-18,3.2003788655957927e-18,2.863163190020061e-18,1.8410273680234836e-18,2.3181795929535694e-18,1.1338008424985463e-18,3.4476693141618556e-17,7.660977370145821e-17,1.729211563144133e-18,0.9500360928058742,7.307467982637029e-17,8.892785691157446e-17,1.10040714913954e-18,1.7736453862957357e-17
7,2.0265075064348176e-17,0.015464166563931559,6.698169465594109e-19,0.016304866942684494,6.482403021826225e-18,4.219505694839395e-19,1.315978706971291e-18,1.352431716348918e-18,2.0993000880339485e-18,1.53253553469782e-19,3.8896808516952684e-16,2.701843503912887e-19,6.322164194160559e-18,0.08831137482785774,3.937011032080049e-19,2.453251099581192e-17,2.1865058227785233e-17,2.3201719401096265e-19,7.465663339838647e-19,4.565983050115247e-19,5.649439020786749e-17,3.4453947390404275e-18,0.03358698813592558,5.406126676174394e-18,1.3777308910242091e-18,3.6834979619955993e-19,3.6879625481598746e-19,1.5849990809757374e-17,1.649653070541144e-18,4.08886610463715e-18,4.483800583731214e-19,3.684519709105901e-18,3.1305328006817175e-19,5.641371868208093e-19,1.657530381668762e-18,7.772750752667733e-18,2.0282706183887795e-18,1.6125981676332341e-18,1.9942654244296515e-18,1.3322874377170006e-18,2.2637448671974373e-18,1.2514274612400482e-18,2.1873044600031536e-17,1.90398823867533e-18,1.4692618615131633e-18,0.8463326035295999,1.8220683967522822e-16,3.334895100497244e-17,7.698718136544888e-19,1.0617167037021182e-17
8,2.7887456112509755e-19,0.015511571268814079,4.247506297178037e-20,0.023191533469106202,1.8621102579350837e-19,1.2420764019328847e-20,4.4063729961191995e-20,8.084540887049412e-20,1.6029266928496436e-19,6.646075401205773e-21,4.2824752731893625e-17,1.6539036796092324e-20,3.4526517788210585e-16,1.1067045957369982e-18,1.669568649586446e-20,2.9984879937484967e-19,3.776612283198082e-17,2.162804699512872e-19,9.631349715084153e-20,2.1509852759703397e-20,1.7517717604253854e-16,2.559917369383371e-19,1.303929124957766e-19,6.239971546092624e-19,1.1005387839877387e-19,7.032562672481355e-19,3.215562292489673e-20,7.818510441418416e-18,4.275481371622435e-21,3.016292489447281e-19,1.6552059543019476e-20,4.911687606877588e-19,1.1053113169538696e-20,6.98769356235404e-20,3.5083797410096167e-19,3.5870778796400924e-19,7.738507040469989e-20,1.34463007049304e-19,5.44253616644094e-20,5.159153176386204e-20,1.284029195882395e-19,9.487068158245598e-20,1.447525680175752e-16,8.380017053553127e-18,1.1620708710760642e-19,0.961296895262079,7.706396741185837e-19,1.034562796627047e-18,3.33988469332058e-20,1.88609318663684e-19
9,3.553399761107733e-17,5.187090415330245e-17,1.6129222392577816e-18,0.00861982065907881,3.7486335438740554e-18,4.305911893588093e-19,1.6316738566195213e-18,2.627953880834292e-18,5.147100923661284e-18,2.518580340567034e-19,0.0026335357480397103,6.6026545318998425e-19,9.98585858394388e-16,1.3452641966317524e-16,4.1358672065204446e-19,9.50412161899028e-17,1.2308200746020158e-16,6.312558600432304e-19,8.710181227543908e-19,6.382698329623137e-19,0.01954744319402228,9.617468216712486e-18,5.0505071784663895e-17,5.456351792605072e-18,4.7750635379082734e-18,0.00038665816913046686,7.555509162965802e-19,0.05042567338456306,3.1170696233413924e-19,9.325361946712597e-18,1.2303737416299656e-18,2.3072214819589964e-14,5.340800617923105e-19,1.5177960244571366e-18,2.3488971535466714e-16,7.95410829924302e-18,2.6280395336246605e-18,5.387771326109177e-18,3.288795909140892e-18,2.534809664956507e-18,8.939327168492515e-18,2.6734246826538354e-18,3.425181767434574e-16,8.230826597422593e-18,2.3757166257663416e-18,0.9183868688451405,4.843645771239464e-17,3.428884279879409e-17,1.2668780830166728e-18,9.806632851679805e-18
10,4.162010301003153e-17,2.2189627542733322e-16,7.667274461723726e-19,3.473306713891155e-18,2.8919293165581734e-19,1.4582666037057723e-19,2.0784178435300576e-19,9.149736486478098e-19,6.920444426576123e-19,1.7224356989228723e-19,0.06451003873759978,7.377891711303322e-20,2.288206782261495e-18,6.448626938096584e-17,7.109925175010573e-20,1.0137580704216139e-16,5.720630005366173e-18,4.72844390888749e-20,7.386608250187593e-20,5.531560710082908e-20,1.2247951000264973e-17,5.716858679432399e-19,5.4141558243851665e-18,3.432245703288739e-19,5.069080614927771e-19,2.0686992116453668e-19,1.7738840360027423e-19,2.047242250977485e-15,1.3670274968494838e-19,1.453610969716538e-18,3.7912550794271925e-19,0.006094184899826457,3.0394652903406467e-19,1.2088654847945245e-19,5.0305778179212634e-18,1.3204142787917522e-18,5.083306731169396e-19,3.554437747946422e-19,6.160453006513335e-19,4.68691677049197e-19,1.8586359514215734e-18,3.976481899528993e-19,2.9190430051473685e-18,2.262320945430721e-19,4.2536381472878956e-19,0.9293957763625712,1.6815363340279384e-17,6.4432917202263695e-18,1.7802359112601557e-19,1.9702415417687107e-18
11,1.7633741090078272e-18,0.027290337542128094,6.6192492746963956e-21,2.1072779412026786e-19,6.6834222915998325e-21,1.6495024801292797e-21,4.391823579572228e-21,1.5319487567637243e-20,1.6919178247300938e-20,9.062186079351864e-22,5.063028092622268e-19,1.6952950613476178e-21,8.173383046155669e-20,0.33324667177255834,1.6002259186910271e-21,0.11569798163478537,4.972606469981896e-19,2.05765545485939e-21,2.1713856143168163e-21,1.6252544019668947e-21,1.4188653927316818e-17,1.8325169937531335e-20,3.4594908897525455e-19,1.026242557625944e-20,1.5947398446784024e-20,5.697756610083629e-21,2.1858513867233134e-21,2.5069736729073712e-18,1.1269727755981006e-21,2.732454184208993e-20,4.024556548005245e-21,1.9775008623092199e-19,1.967217483835378e-21,3.1652092285404808e-21,3.844105856954811e-20,3.008308453928732e-20,8.25645533352978e-21,1.4944537226449567e-20,1.0425449599079766e-20,8.92883637751971e-21,3.2256278047523276e-20,7.768832293723895e-21,4.384510347041084e-19,9.519199851268834e-21,9.114786772849504e-21,0.5237650090505281,3.4933822243951142e-19,1.5019619307264554e-19,4.245125029449829e-21,3.828330193707657e-20
12,1.1004882097733865e-18,0.09695410275368402,7.099990049465826e-20,2.5323329780153303e-18,2.4430055329859824e-20,1.3419447364128721e-20,2.3218316756267405e-20,1.0263639549674289e-19,8.671818859784741e-20,6.872910724319186e-21,0.04361195041471162,8.588355758399059e-21,3.223348911648238e-19,0.013562611046714898,1.0341200703820435e-20,4.1706010278308936e-18,1.4518914788659806e-18,9.207619537403418e-21,1.0393566044398482e-20,9.714980440516384e-21,0.690458338224273,7.758638686631705e-20,5.220626438155038e-19,4.171917246017919e-20,7.744743132176176e-20,3.073725768275032e-20,1.579385022359951e-20,0.03425306519006269,1.7698185411751047e-20,1.5676489705776876e-19,1.7879822601768976e-20,2.7269266906966183e-19,1.1594416711241314e-20,1.1228188811003223e-20,1.0906040573213415e-19,1.7362645926110842e-19,4.257644007321287e-20,6.516481635939987e-20,4.9709242595694974e-20,4.507708218129827e-20,1.4282794677412128e-19,3.3094290579666377e-20,9.809403841301412e-19,3.420068763436548e-20,4.5791649619104587e-20,0.12115993237055375,9.067409237624845e-19,6.255311451990863e-19,2.4212550101397626e-20,2.0889337139267954e-19
13,2.0154161453989224e-16,0.01107758067170068,4.161877527488779e-19,2.1360658303258288e-16,1.3107943688759756e-19,1.132434882441462e-19,1.4733176527374451e-19,2.9415853569948865e-17,7.209502480460063e-19,8.976157279812712e-19,3.7918373793150246e-17,3.1903625716282217e-20,1.0697662982466259e-18,0.3257921066333689,8.908571469643569e-20,9.394733678869446e-16,6.229780201925631e-16,6.517114602671764e-20,5.317354569251744e-20,1.1701416346189212e-19,7.999545860680896e-16,1.6502281650247464e-19,3.0020302031285187e-18,1.0238017769370041e-19,3.397143715446075e-19,5.665925870604364e-19,8.961286240023461e-20,0.12006727021824809,1.6849456678406822e-19,1.6318760574019823e-18,1.3258075053211037e-19,2.0735041212745503e-18,1.0412451744042319e-19,2.885521802621471e-20,1.6782456528103914e-19,1.418243931066234e-18,3.068460889547755e-19,3.161047293884057e-19,1.4645456087465922e-19,2.959929416620544e-19,1.0436446545247658e-18,3.002347413551102e-19,2.255997072530037e-18,6.125425112841152e-20,4.1279748805491044e-19,0.5430630424766795,4.3731002575728326e-18,4.688857175389355e-18,2.49229660291171e-19,1.9384279519228905e-18
14,5.788898925959657e-21,2.4186713778178484e-19,2.411584619757675e-21,4.8652941063357606e-20,5.69281813433606e-22,6.837001497185632e-22,9.108755467343934e-22,8.312090404581484e-21,2.035220897117837e-21,2.759103558969987e-22,4.769667118580474e-20,2.0005561682820223e-22,8.990640099789298e-21,0.3351946793767127,2.013401907894278e-22,2.130620857269064e-16,4.442092335843075e-20,2.0763403811045462e-22,3.04389922282369e-22,4.057054866110869e-22,2.9313522067821467e-19,3.710487491203892e-21,1.2243036245718074e-20,1.490482812933529e-21,1.7935494213326425e-21,8.863395708691348e-22,4.376307805795901e-22,0.29085682433434634,4.59732613755059e-22,5.069739134348823e-21,5.695220027976583e-22,4.6450649386061936e-21,3.5150596995454908e-22,4.2186259240250817e-22,2.3576262687853153e-21,9.59483207745282e-21,1.4670165061264074e-21,1.982653109830485e-21,1.9531238021693322e-21,1.1787504593352385e-21,4.347023450393782e-21,1.2752253174026939e-21,2.3354685379109826e-20,1.398628519584482e-21,1.3201174665264e-21,0.37394849628894067,2.216131458090196e-20,1.828187495080295e-20,1.1138393601913303e-21,6.913103160970524e-21
15,1.915114166796477e-17,0.04789318438066094,3.054467921169814e-17,6.617350167413322e-17,4.985888203266668e-19,1.0924451579404126e-18,1.003906701839617e-18,0.026431314068668832,3.738045192616827e-18,3.2112555212233483e-18,0.01743262346211906,6.462091244425125e-19,3.139091766717467e-17,0.4377817095205301,2.0625513984549977e-19,5.675746669263487e-17,1.512681244443442e-16,1.4979094946513356e-19,3.9330233521786204e-19,5.111032812312368e-19,1.9408713721346142e-16,3.917904703503822e-18,1.1177981135038601e-17,1.6339686967074704e-18,4.467420097723559e-18,1.9669101887371843e-17,1.6553289590247566e-18,0.011807319616711245,4.157253955557613e-19,1.5582823938448743e-17,7.541884455882951e-19,6.109132046398403e-18,1.0713380516344928e-18,4.009811078937008e-19,4.872106987561041e-18,1.6206519232370192e-17,2.9378718721613546e-18,2.8183027380106813e-18,4.736204477609104e-18,1.2719602028372091e-18,6.420298075813799e-18,1.2908840072765419e-18,1.9083633275462996e-17,1.8326212783711766e-18,1.9122380942312887e-18,0.4586538489513093,2.3490572553221927e-17,2.2173911396498776e-17,1.7624892207709292e-18,7.968865195418251e-18
16,7.623006571537914e-20,0.014518544988515372,6.813381959625462e-15,3.6962031711359575e-19,7.908969783114466e-21,1.648512329223763e-20,1.6471984653853146e-20,0.04669289924412735,2.459581710980968e-20,5.528413924204169e-21,6.5723622043913305e-19,2.463863560922107e-21,7.34539579965761e-20,0.05856997220359895,2.7855928164508268e-21,0.3059224102270205,8.710325166325557e-19,2.154131856174747e-21,4.928120722451105e-21,8.986355550914503e-21,4.3464972308107914e-18,5.3386119963431775e-20,1.3461869878786112e-19,2.4782824291495513e-20,2.1287445533200352e-20,1.3027888349629586e-18,1.627406930911542e-20,0.07233422497939339,8.540299776668711e-21,1.2303407369100498e-19,1.2100326782348021e-20,1.5287545186278325e-19,1.0945437141172469e-20,6.101265368416082e-21,4.6018086539724804e-20,1.9571435348952143e-19,1.8917260394567903e-20,2.572198565351638e-20,3.2357416515379935e-20,1.5732889388247798e-20,9.48704771202984e-20,2.0608577052117763e-20,8.819583895173207e-19,2.1289909801946207e-20,3.5321975846339225e-20,0.5019619483573378,2.5348670493215015e-19,2.286426420736247e-19,1.6105862880633745e-20,1.0234371297813476e-19
17,3.1309557309515976e-19,9.49460243017855e-18,5.907248487335747e-19,1.3907842117882932e-18,4.001509935936315e-20,1.2484259115792722e-19,1.3127973650901204e-19,0.019966081317137244,1.3447327606432337e-19,2.8877263017322636e-20,2.7521357587749845e-18,1.302869019975673e-20,3.883936496635849e-19,4.536093454881969e-16,1.2545376505510436e-20,0.3287376479687395,9.32672920124105e-16,1.4648849969686298e-20,2.850902679323268e-20,1.2669174708117743e-19,1.7509214652083827e-17,2.922668405085979e-19,5.154380969762496e-19,1.4227194731767468e-19,1.0495148142173438e-19,0.007431844950349714,1.1229578091362142e-19,1.5837510803378374e-17,7.055634678117537e-20,9.345908819644822e-19,7.339806021240673e-20,5.784472940679442e-19,5.948375469645567e-20,3.784598338153378e-20,2.5096396661586135e-19,1.5218712124603066e-18,9.377572239855066e-20,1.309158223195824e-19,1.6146463157537816e-19,7.713606598295489e-20,6.678390488655732e-19,1.5800565321598687e-19,6.044463098361821e-18,1.5707358851896822e-19,3.333198744421713e-19,0.6438644257637722,1.3548888238846645e-18,1.2876372573724218e-18,1.1056882229336246e-19,5.401228399593166e-19
18,4.44939056782153e-20,4.1613712779476776e-19,4.198136566639485e-20,2.3316750013284123e-19,1.5319217546955032e-20,1.5635192528538842e-20,2.941751933154218e-20,2.329618858780644e-19,2.4515513301348602e-20,4.278404513581713e-21,4.45798905793586e-19,2.6372417903619834e-21,7.801504192154269e-20,0.0029693090320306167,2.0999003278821756e-21,0.416930886271174,9.264400154674818e-19,2.7587065470033137e-21,4.997577663538051e-21,3.972096721420661e-20,0.141613167246977,4.4952025171149286e-20,8.930267838490652e-20,3.011672427524726e-20,2.3069432105256378e-20,0.009551035837108758,1.4601126461012513e-20,1.7248661067438257e-18,1.0603449233466429e-20,2.2297131077814976e-19,1.2341469097400033e-20,9.372251601570108e-20,1.2264645756052361e-20,7.57984655277068e-21,5.4174332259069686e-20,2.2153467862701777e-19,2.277351848148362e-20,2.4756583606392052e-20,3.126573163039343e-20,1.4535233065593952e-20,1.311253269943209e-19,3.477247263252017e-20,7.732191439877722e-20,4.1435337939984613e-20,9.814887010754679e-20,0.42893560161270966,2.6957832364841086e-19,2.6873669145439083e-19,2.0601000824531608e-20,1.011608528561927e-19
